,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1-acylglycerophosphoethanolamine O-acyltransferases,-1.2964723987897218,-1.2579839018193824,-2.057815381509924,0.2572145636028667,-0.656021510841236,1.2081427323742884,-1.9419703044370924,-0.01618721248865092
14-3-3 phospho-serine/phospho-threonine binding proteins,-0.2209100662553497,0.4031463298886496,-0.8487027425077535,0.87728664471303,1.2104700428991277,1.6774673338883985,-0.4283422523798852,0.5355367364409801
2'-5'-oligoadenylate synthetase family,-1.8017642679732493,-2.861054051923983,-0.8841694894448549,0.18819275177792108,1.0958913350294233,-0.34660152773233915,-0.21513130850159612,0.20672513148214733
2-arachidonoylglycerol hydrolases,0.9725757061660183,-0.8229369254979007,-1.7675485226688428,-0.4483664737541161,0.6081940242394175,1.7758761492508195,-0.41131706558841125,0.28147123962366777
3-hydroxyacyl-CoA dehydratase family,-0.347051156832817,0.40971261890948574,-1.5310154568505747,-0.5841006939999452,0.2649495419922854,0.5241289270002357,0.3630494076472706,0.3181558951091518
3M complex subunits,1.3533339150879402,3.2230125943712613,-1.138916549400506,-0.8471113684812487,-0.9818549427890294,-2.1219258653526007,-0.3655202431506418,-1.1935117023735486
5'-nucleotidases,0.0760593625412246,0.05355369281383872,0.6460492683109441,0.7808285132962293,-0.886721473651995,0.020135978589099098,-0.10763971277614086,0.3255582043711727
"5-hydroxytryptamine receptors, G protein-coupled",1.466866620609085,-0.2959588597665885,0.6089258310830242,0.24291147138705876,0.6176952525382683,0.3895416693109454,-0.06048444982964537,0.5224418377860298
"5-hydroxytryptamine receptors, ionotropic ",1.4549889296073677,-1.119935559676098,0.6215321933083537,0.9049865611779848,0.2419949888613452,-0.5265844596875736,-0.8280822239689883,-0.41288436354817093
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase family",2.401195229710491,-1.2160776686314356,0.8965071487953196,1.8294508247663979,-0.7563664227124461,0.367400868747786,0.15103517172976044,-0.07793581446466336
7BS non-methyltransferases,-0.39835888788828433,1.1066673344065108,-0.08964356357344228,1.282215900318773,-0.3081878546978515,-0.14386234154158242,0.0633330498278105,0.2070991320337492
7BS orphan methyltransferases,-0.4039322867647976,0.7797532053077167,-0.3222004224515303,-0.4939588754399655,-0.992834717810264,0.07902519085393934,-0.36278766193252876,-0.20587833534473055
7BS protein glutamine methyltransferases,-0.4626316267032844,2.5106657336350584,-1.524687514699824,-0.8707742191157165,-1.359902772298292,-0.23592600220696863,0.19122336728031863,-0.919862468111984
7BS protein lysine methyltransferases,-1.9551781151821759,-0.9752928950767796,3.58210426634787,-1.5119227608122032,0.07698958473803909,-0.26525507466193315,-0.3369527261240318,1.607147454985646
7BS protein methyltransferases,-0.14500714900110462,2.7653363716975927,1.4268346555472067,0.6180396408819209,-1.1699987215166023,0.8770538723742111,-2.181286850031981,0.23520631118334412
7BS small molecule methyltransferases,2.2054995417034586,-0.4582692215835003,-0.637323432957355,0.07634206488475524,-0.1889088459206421,-0.37211516481111356,1.307917587394548,-0.378734174166208
7D cadherins,0.8879924919925192,-1.1254201334604088,-0.9035194452269272,-0.2765220155130142,-1.0681739996637922,1.6786541013612206,-0.03817883068572196,-0.4032367548493949
7SK snRNP complex,-2.3937019716013728,0.3200949001935139,-1.5758874585568114,1.8145674364227131,-1.7076308291206654,1.309118659801039,1.4213675212461054,0.5785020762182995
7TM uncharacterized proteins,-0.2928742939598482,0.7990485039706604,-0.9596189771498841,-0.9520998067032679,-0.05930393377231736,0.6725103929203563,-0.4255840912461022,0.08891606586443096
A-kinase anchoring proteins,0.266840585215437,0.5947803002667184,0.5225686876310437,-0.12523918456363844,0.2561086163629767,0.3023597313535618,0.086091248889276,0.3207704217608804
AAA ATPases,-1.3811830631033724,0.1794208778317857,0.6495601755728044,0.6549775930315274,-0.5950316785237453,0.3304968788727129,0.7575887018203662,0.23910519132441677
ACF complex,-3.6716649556081347,-2.464178656574992,1.2384950352990882,-0.4058563169773792,0.4088520656856733,-0.9452182566767098,-0.14509302531268656,0.6592031067477658
ADAM metallopeptidase domain containing,0.01586229764215269,0.5365667145450554,1.0898122079402017,-0.24179442093997738,0.15963783359590933,-0.41517607519174987,-0.3591550993874908,1.1037407869702498
ADAM metallopeptidases with thrombospondin type 1 motif,0.5426169873930468,0.6901912778887782,-1.4286919885638873,-0.20003810948132167,0.8606754462978153,-1.4403243498263938,0.1826796169704227,1.3723064288302222
ADAMTS like,1.52451174282449,0.937227871099869,-1.1061962642907852,0.22358787297809235,-0.5614516101177278,-0.33807079743118995,0.07771871434652211,0.6548369674953447
ADP-ribosyltransferase family,1.8742170072153543,-0.1496594298145705,1.5006372767045772,0.9218422707808425,-0.8241022272241665,-1.3704852998354966,0.4702364567148616,0.5537727444655812
AF4/FMR2 family,-1.3315572240308824,0.5078576410799283,-0.19046873861706165,0.5088876634124361,0.4774022005984217,-1.1566787364559048,0.7605756618135281,-0.10756264404869416
AH domain containing,0.006986951687734233,1.346274841263462,-0.7937586236377658,-1.4367446487922813,-0.42836961193719825,0.716004655795233,-1.3634714216441097,-0.3516371621290984
AH/BAR family Rho GTPase activating proteins,-0.960978936174247,-0.1395924645663649,-0.7621647493956658,0.037986804301342776,0.48474718882683115,-0.02952113271879943,-0.25796104512431856,0.35316240019736844
AKT kinase family,-0.2039538506568926,1.8222057280082795,-1.8997777264364597,0.6767907685224428,-0.2219272275683229,-1.2369313049850446,0.4672799563836154,-0.2052965651367247
