HGNC ID,Approved symbol,Approved name,Status,Locus type,Previous symbols,Alias symbols,Chromosome,NCBI Gene ID,Ensembl gene ID,Vega gene ID,Group ID,Group name
HGNC:11148,FSCN1,fascin actin-bundling protein 1,Approved,gene with protein product,SNL,"p55, FLJ38511",7p22.1,6624,ENSG00000075618,OTTHUMG00000090599,3,Fascin family
HGNC:3960,FSCN2,"fascin actin-bundling protein 2, retinal",Approved,gene with protein product,,"RP30, RFSN",17q25.3,25794,ENSG00000186765,OTTHUMG00000167477,3,Fascin family
HGNC:3961,FSCN3,fascin actin-bundling protein 3,Approved,gene with protein product,,,7q32.1,29999,ENSG00000106328,OTTHUMG00000022935,3,Fascin family
HGNC:17553,ABHD1,abhydrolase domain containing 1,Approved,gene with protein product,,"LABH1, FLJ36128",2p23.3,84696,ENSG00000143994,OTTHUMG00000097072,4,Abhydrolase domain containing
HGNC:25656,ABHD10,"abhydrolase domain containing 10, depalmitoylase",Approved,gene with protein product,,FLJ11342,3q13.2,55347,ENSG00000144827,OTTHUMG00000159280,4,Abhydrolase domain containing
HGNC:16407,ABHD11,abhydrolase domain containing 11,Approved,gene with protein product,WBSCR21,PP1226,7q11.23,83451,ENSG00000106077,OTTHUMG00000130029,4,Abhydrolase domain containing
HGNC:15868,ABHD12,"abhydrolase domain containing 12, lysophospholipase",Approved,gene with protein product,C20orf22,"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A",20p11.21,26090,ENSG00000100997,OTTHUMG00000032121,4,Abhydrolase domain containing
HGNC:19837,ABHD12B,abhydrolase domain containing 12B,Approved,gene with protein product,C14orf29,BEM46L3,14q22.1,145447,ENSG00000131969,OTTHUMG00000140286,4,Abhydrolase domain containing
HGNC:20293,ABHD13,abhydrolase domain containing 13,Approved,gene with protein product,C13orf6,"bA153I24.2, FLJ14906, BEM46L1",13q33.3,84945,ENSG00000139826,OTTHUMG00000017330,4,Abhydrolase domain containing
HGNC:24538,ABHD14A,abhydrolase domain containing 14A,Approved,gene with protein product,,"DKFZP564O243, DORZ1",3p21.2,25864,ENSG00000248487,OTTHUMG00000157818,4,Abhydrolase domain containing
HGNC:28235,ABHD14B,abhydrolase domain containing 14B,Approved,gene with protein product,,"MGC15429, CIB",3p21.2,84836,ENSG00000114779,OTTHUMG00000157816,4,Abhydrolase domain containing
HGNC:26971,ABHD15,abhydrolase domain containing 15,Approved,gene with protein product,,,17q11.2,116236,ENSG00000168792,OTTHUMG00000179721,4,Abhydrolase domain containing
HGNC:13921,ABHD16A,"abhydrolase domain containing 16A, phospholipase",Approved,gene with protein product,BAT5,"NG26, D6S82E",6p21.33,7920,ENSG00000204427,OTTHUMG00000031177,4,Abhydrolase domain containing
HGNC:16128,ABHD16B,abhydrolase domain containing 16B,Approved,gene with protein product,C20orf135,dJ591C20.1,20q13.33,140701,ENSG00000183260,OTTHUMG00000033010,4,Abhydrolase domain containing
HGNC:28756,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase",Approved,gene with protein product,"C19orf27, FAM108A1",MGC5244,19p13.3,81926,ENSG00000129968,OTTHUMG00000171872,4,Abhydrolase domain containing
HGNC:24278,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase",Approved,gene with protein product,"C9orf77, FAM108B1",CGI-67,9q21.13,51104,ENSG00000107362,OTTHUMG00000020001,4,Abhydrolase domain containing
HGNC:26925,ABHD17C,"abhydrolase domain containing 17C, depalmitoylase",Approved,gene with protein product,FAM108C1,,15q25.1,58489,ENSG00000136379,,4,Abhydrolase domain containing
HGNC:26111,ABHD18,abhydrolase domain containing 18,Approved,gene with protein product,C4orf29,FLJ21106,4q28.2,80167,ENSG00000164074,OTTHUMG00000133304,4,Abhydrolase domain containing
HGNC:30178,PPME1,protein phosphatase methylesterase 1,Approved,gene with protein product,,"PME-1, ABDH19",11q13.4,51400,ENSG00000214517,OTTHUMG00000168115,4,Abhydrolase domain containing
HGNC:18717,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase",Approved,gene with protein product,,LABH2,15q26.1,11057,ENSG00000140526,OTTHUMG00000148684,4,Abhydrolase domain containing
HGNC:3402,EPHX2,epoxide hydrolase 2,Approved,gene with protein product,,"ABHD20, sEH",8p21.2-p21.1,2053,ENSG00000120915,OTTHUMG00000102115,4,Abhydrolase domain containing
HGNC:20373,SPG21,"SPG21 abhydrolase domain containing, maspardin",Approved,gene with protein product,,"ACP33, GL010, BM-019, MAST, ABHD21",15q22.31,51324,ENSG00000090487,OTTHUMG00000133098,4,Abhydrolase domain containing
HGNC:18718,ABHD3,"abhydrolase domain containing 3, phospholipase",Approved,gene with protein product,,LABH3,18q11.2,171586,ENSG00000158201,OTTHUMG00000179099,4,Abhydrolase domain containing
HGNC:20154,ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",Approved,gene with protein product,,FLJ12816,14q11.2,63874,ENSG00000100439,OTTHUMG00000028686,4,Abhydrolase domain containing
HGNC:21396,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",Approved,gene with protein product,,"CGI-58, NCIE2",3p21.33,51099,ENSG00000011198,OTTHUMG00000133039,4,Abhydrolase domain containing
HGNC:21398,ABHD6,"abhydrolase domain containing 6, acylglycerol lipase",Approved,gene with protein product,,,3p14.3,57406,ENSG00000163686,OTTHUMG00000159150,4,Abhydrolase domain containing
HGNC:23758,EPHX4,epoxide hydrolase 4,Approved,gene with protein product,ABHD7,"EPHXRP, FLJ90341, EH4",1p22.1,253152,ENSG00000172031,OTTHUMG00000010114,4,Abhydrolase domain containing
HGNC:23759,ABHD8,abhydrolase domain containing 8,Approved,gene with protein product,,"FLJ11743, MGC14280, MGC2512",19p13.11,79575,ENSG00000127220,OTTHUMG00000182663,4,Abhydrolase domain containing
HGNC:23760,EPHX3,epoxide hydrolase 3,Approved,gene with protein product,ABHD9,FLJ22408,19p13.12,79852,ENSG00000105131,OTTHUMG00000183251,4,Abhydrolase domain containing
HGNC:3401,EPHX1,epoxide hydrolase 1,Approved,gene with protein product,EPHX,,1q42.12,2052,ENSG00000143819,OTTHUMG00000037743,4,Abhydrolase domain containing
HGNC:1753,CDH13,cadherin 13,Approved,gene with protein product,,CDHH,16q23.3,1012,ENSG00000140945,OTTHUMG00000176635,18,Major cadherins
HGNC:15902,CDH26,cadherin 26,Approved,gene with protein product,,VR20,20q13.33,60437,ENSG00000124215,OTTHUMG00000032874,18,Major cadherins
HGNC:8663,PCDHA1,protocadherin alpha 1,Approved,complex locus constituent,,,5q31.3,56147,ENSG00000204970,OTTHUMG00000163368,20,Clustered protocadherins
HGNC:8664,PCDHA10,protocadherin alpha 10,Approved,complex locus constituent,CNRS8,"CNR8, CRNR8, CNRN8, PCDH-ALPHA10",5q31.3,56139,ENSG00000250120,OTTHUMG00000163372,20,Clustered protocadherins
HGNC:8665,PCDHA11,protocadherin alpha 11,Approved,complex locus constituent,CNRS7,"CNR7, CRNR7, CNRN7, PCDH-ALPHA11",5q31.3,56138,ENSG00000249158,OTTHUMG00000163369,20,Clustered protocadherins
HGNC:8666,PCDHA12,protocadherin alpha 12,Approved,complex locus constituent,,PCDH-ALPHA12,5q31.3,56137,ENSG00000251664,OTTHUMG00000163366,20,Clustered protocadherins
HGNC:8667,PCDHA13,protocadherin alpha 13,Approved,complex locus constituent,CNRS5,"CNR5, CRNR5, CNRN5, PCDH-ALPHA13",5q31.3,56136,ENSG00000239389,OTTHUMG00000129614,20,Clustered protocadherins
HGNC:2163,PCDHA14,protocadherin alpha 14 (pseudogene),Approved,pseudogene,CNRS3,"CNR3, CRNR3, PCDH-PSI4",5q31.3,26307,ENSG00000249504,OTTHUMG00000163355,20,Clustered protocadherins
HGNC:8668,PCDHA2,protocadherin alpha 2,Approved,complex locus constituent,,,5q31.3,56146,ENSG00000204969,OTTHUMG00000163363,20,Clustered protocadherins
HGNC:8669,PCDHA3,protocadherin alpha 3,Approved,complex locus constituent,,PCDH-ALPHA3,5q31.3,56145,ENSG00000255408,OTTHUMG00000163357,20,Clustered protocadherins
HGNC:8670,PCDHA4,protocadherin alpha 4,Approved,complex locus constituent,,"CNR1, CRNR1, PCDH-ALPHA4, CNRN1",5q31.3,56144,ENSG00000204967,OTTHUMG00000163360,20,Clustered protocadherins
HGNC:8671,PCDHA5,protocadherin alpha 5,Approved,complex locus constituent,CNRS6,"CNR6, CRNR6, CNRN6, PCDH-ALPHA5",5q31.3,56143,ENSG00000204965,OTTHUMG00000163367,20,Clustered protocadherins
HGNC:8672,PCDHA6,protocadherin alpha 6,Approved,complex locus constituent,CNRS2,"CNR2, CRNR2, PCDH-ALPHA6",5q31.3,56142,ENSG00000081842,OTTHUMG00000163353,20,Clustered protocadherins
HGNC:8673,PCDHA7,protocadherin alpha 7,Approved,complex locus constituent,CNRS4,"CNR4, CRNR4",5q31.3,56141,ENSG00000204963,OTTHUMG00000163371,20,Clustered protocadherins
HGNC:8674,PCDHA8,protocadherin alpha 8,Approved,complex locus constituent,,,5q31.3,56140,ENSG00000204962,OTTHUMG00000163354,20,Clustered protocadherins
HGNC:8675,PCDHA9,protocadherin alpha 9,Approved,complex locus constituent,,"KIAA0345, PCDH-ALPHA9",5q31.3,9752,ENSG00000204961,OTTHUMG00000163373,20,Clustered protocadherins
HGNC:8662,PCDHA@,"protocadherin alpha cluster, complex locus",Approved,gene with protein product,CNRS1,CNR1,5q31,56117,,,20,Clustered protocadherins
HGNC:8676,PCDHAC1,"protocadherin alpha subfamily C, 1",Approved,complex locus constituent,,,5q31.3,56135,ENSG00000248383,OTTHUMG00000129603,20,Clustered protocadherins
HGNC:8677,PCDHAC2,"protocadherin alpha subfamily C, 2",Approved,complex locus constituent,,PCDH-ALPHA-C2,5q31.3,56134,ENSG00000243232,OTTHUMG00000129607,20,Clustered protocadherins
HGNC:8678,PCDHACT,protocadherin alpha constant,Approved,complex locus constituent,,PCDHAC,5q31,56119,,,20,Clustered protocadherins
HGNC:8680,PCDHB1,protocadherin beta 1,Approved,complex locus constituent,,PCDH-BETA1,5q31.3,29930,ENSG00000171815,OTTHUMG00000129627,20,Clustered protocadherins
HGNC:8681,PCDHB10,protocadherin beta 10,Approved,complex locus constituent,,,5q31.3,56126,ENSG00000120324,OTTHUMG00000129626,20,Clustered protocadherins
HGNC:8682,PCDHB11,protocadherin beta 11,Approved,complex locus constituent,,"PCDH-BETA11, ME2",5q31.3,56125,ENSG00000197479,OTTHUMG00000129618,20,Clustered protocadherins
HGNC:8683,PCDHB12,protocadherin beta 12,Approved,complex locus constituent,,PCDH-BETA12,5q31.3,56124,ENSG00000120328,OTTHUMG00000129620,20,Clustered protocadherins
HGNC:8684,PCDHB13,protocadherin beta 13,Approved,complex locus constituent,,PCDH-BETA13,5q31.3,56123,ENSG00000187372,OTTHUMG00000129615,20,Clustered protocadherins
HGNC:8685,PCDHB14,protocadherin beta 14,Approved,complex locus constituent,,PCDH-BETA14,5q31.3,56122,ENSG00000120327,OTTHUMG00000129619,20,Clustered protocadherins
HGNC:8686,PCDHB15,protocadherin beta 15,Approved,complex locus constituent,,PCDH-BETA15,5q31.3,56121,ENSG00000113248,OTTHUMG00000129609,20,Clustered protocadherins
HGNC:14546,PCDHB16,protocadherin beta 16,Approved,complex locus constituent,,"PCDHB8a, PCDH3X, KIAA1621, PCDH-BETA16, ME1",5q31.3,57717,ENSG00000272674,OTTHUMG00000188325,20,Clustered protocadherins
HGNC:14547,PCDHB17P,protocadherin beta 17 pseudogene,Approved,complex locus constituent,PCDHB17,PCDH-psi1,5q31.3,54661,ENSG00000255622,OTTHUMG00000187247,20,Clustered protocadherins
HGNC:14548,PCDHB18P,protocadherin beta 18 pseudogene,Approved,pseudogene,PCDHB18,PCDH-psi2,5q31.3,54660,ENSG00000146001,OTTHUMG00000167484,20,Clustered protocadherins
HGNC:14549,PCDHB19P,protocadherin beta 19 pseudogene,Approved,pseudogene,,PCDH-PSI5,5q31.3,84054,ENSG00000262096,OTTHUMG00000177851,20,Clustered protocadherins
HGNC:8687,PCDHB2,protocadherin beta 2,Approved,complex locus constituent,,PCDH-BETA2,5q31.3,56133,ENSG00000112852,OTTHUMG00000129606,20,Clustered protocadherins
HGNC:8688,PCDHB3,protocadherin beta 3,Approved,complex locus constituent,,PCDH-BETA3,5q31.3,56132,ENSG00000113205,OTTHUMG00000129622,20,Clustered protocadherins
HGNC:8689,PCDHB4,protocadherin beta 4,Approved,complex locus constituent,,PCDH-BETA4,5q31.3,56131,ENSG00000081818,OTTHUMG00000129617,20,Clustered protocadherins
HGNC:8690,PCDHB5,protocadherin beta 5,Approved,complex locus constituent,,"DKFZp586B0217, PCDH-BETA5",5q31.3,26167,ENSG00000113209,OTTHUMG00000129616,20,Clustered protocadherins
HGNC:8691,PCDHB6,protocadherin beta 6,Approved,complex locus constituent,,PCDH-BETA6,5q31.3,56130,ENSG00000113211,OTTHUMG00000129623,20,Clustered protocadherins
HGNC:8692,PCDHB7,protocadherin beta 7,Approved,complex locus constituent,,PCDH-BETA7,5q31.3,56129,ENSG00000113212,OTTHUMG00000129608,20,Clustered protocadherins
HGNC:8693,PCDHB8,protocadherin beta 8,Approved,complex locus constituent,,"PCDH-BETA8, PCDH3I",5q31.3,56128,ENSG00000120322,OTTHUMG00000129621,20,Clustered protocadherins
HGNC:8694,PCDHB9,protocadherin beta 9,Approved,complex locus constituent,,"PCDH-BETA9, PCDH3H",5q31.3,56127,ENSG00000177839,OTTHUMG00000188326,20,Clustered protocadherins
HGNC:8679,PCDHB@,protocadherin beta cluster,Approved,gene with protein product,,PCDH3,5q31,56116,,,20,Clustered protocadherins
