,AE1,AE2,AE3,AE4,AE5,AE6,AE7,AE8
1-acylglycerophosphoethanolamine O-acyltransferases,1.5010808,0.93655837,-0.8873611,-1.1300027,-2.5987558,0.4951092,-3.505678,-0.4661255
14-3-3 phospho-serine/phospho-threonine binding proteins,0.6972182,-0.13429342,-0.21823421,-0.399297,-0.37320885,1.3478464,-0.004540801,0.101365246
2'-5'-oligoadenylate synthetase family,2.6426897,-1.4464111,-0.59728295,-2.3709786,-2.4662964,0.04794334,-4.5396404,-0.76087666
2-arachidonoylglycerol hydrolases,1.4360569,-0.357385,-1.4272981,-1.3860114,-2.0178432,1.2803108,-0.793853,0.061059274
3-hydroxyacyl-CoA dehydratase family,1.8399824,-0.2632161,0.014756702,-1.3937366,-2.0692952,0.55007017,-1.3563247,0.84176385
3M complex subunits,4.695429,-1.4083102,-2.2097857,0.21511243,-2.6859586,-0.38307983,-5.4959707,5.082371
5'-nucleotidases,0.637482,-0.80910254,-0.7522813,-0.05116117,-1.2354882,-0.6508794,-2.175143,1.2929863
"5-hydroxytryptamine receptors, G protein-coupled",0.73705554,-1.5532188,-1.4625028,-0.8198106,-0.519793,0.19882701,-0.7470633,1.5794752
"5-hydroxytryptamine receptors, ionotropic ",0.50383216,-1.3576189,-1.6980934,-1.368974,-0.5217706,0.121292606,-2.1976037,1.4126478
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase family",0.47997332,-2.762196,-2.3288581,-0.30438107,-1.6870619,0.6960336,-2.5967767,1.5992563
7BS non-methyltransferases,0.8635682,-0.8103123,0.3628135,-0.047640428,-0.96113724,0.111494794,-1.8768942,1.3607508
7BS orphan methyltransferases,1.9810833,0.10042685,-0.62090045,0.016361594,-1.8815104,-0.5735513,-2.3865058,1.3652227
7BS protein glutamine methyltransferases,4.18627,-0.49683616,-0.70966274,0.58957964,-3.4709551,-0.24566929,-4.1997094,2.8336797
7BS protein lysine methyltransferases,3.0598247,-1.2420444,-1.1361195,0.660112,-1.1196586,-3.6399205,-2.9531348,1.0176432
7BS protein methyltransferases,1.402157,0.01886028,-1.1098373,2.1418972,-0.22015017,-0.9706047,-1.8876562,2.7908022
7BS small molecule methyltransferases,2.2673213,-3.1210158,-1.6929616,-1.5861045,-3.031088,0.64641804,-2.8458269,2.320223
7D cadherins,1.3496542,-0.4561005,-2.0444045,-0.43145168,-2.8386815,1.0358832,-2.012859,0.07075588
7SK snRNP complex,0.81737363,-0.6773641,1.7442955,-0.7884503,-3.5243018,0.5278766,-2.2823095,-0.1612092
7TM uncharacterized proteins,1.7377064,0.45383844,-0.5476361,-0.64865494,-1.5104479,-0.009454697,-1.100035,1.0563926
A-kinase anchoring proteins,1.7595071,-1.2479568,-1.1148456,0.12838854,-0.909589,-0.33578742,-1.3661118,1.6141884
AAA ATPases,0.757157,-0.7854773,1.0351136,-0.37803948,-1.6880429,-0.87806857,-1.2622893,0.46000156
ACF complex,1.7984258,-0.7918912,0.74225485,-1.7964443,-1.3898561,-1.9599856,-3.1022165,-0.57149076
ADAM metallopeptidase domain containing,1.3551388,-0.79608107,-0.7368862,-0.276937,-0.42369416,-1.1543415,-1.4953206,2.0158656
ADAM metallopeptidases with thrombospondin type 1 motif,2.0804262,-1.1161852,0.06226947,-2.3600714,-1.4186845,0.28240168,-2.7336664,2.5126584
ADAMTS like,1.4458575,-0.93666816,-0.696176,-1.2524723,-2.0150726,0.39671195,-2.3127599,2.518674
ADP-ribosyltransferase family,1.8467102,-2.9548566,-1.8615383,-0.36097288,-1.8705812,-0.8454105,-3.6268442,3.1712492
AF4/FMR2 family,1.7486775,-1.0144773,1.002985,-1.3247308,-1.4720824,-0.28059226,-2.3010812,1.0825104
AH domain containing,2.835401,0.857407,-1.7110679,0.35394943,-1.4041122,-0.05923813,-2.115406,1.5302267
AH/BAR family Rho GTPase activating proteins,1.7215421,-0.43187252,-0.05726955,-1.0556028,-1.3866655,0.26714712,-2.2274115,0.3383273
AKT kinase family,2.4519873,-1.3367608,0.46773055,-1.2433511,-2.4290876,0.6714046,-3.635337,2.4430487
ANP32 acidic nuclear phosphoproteins,0.55191284,-0.58065474,0.9252787,-1.1869289,-1.2152805,-0.22241268,-1.8264914,-0.39789096
APC membrane recruitment proteins,0.42286244,-0.9047737,-1.3942716,-0.183053,0.29679096,0.52456254,-0.29948524,1.7184651
ARF GTPase family,1.587268,-0.35812792,0.04329612,-0.46337658,-1.1344968,0.059881613,-1.2684302,0.7835475
ASAP complex subunits,1.4924948,-0.98129344,0.5863884,0.5346227,-0.7410597,-0.8579477,-2.4040182,0.3550675
AT-rich interaction domain containing,1.6973557,-1.7984824,0.38909483,-2.2837884,-1.3818192,-0.67034495,-2.3386161,0.6475664
ATAC complex,2.5915582,-0.22827408,0.8274104,0.40911418,-1.8114152,-0.81895244,-2.352369,0.9086251
ATP binding cassette subfamily A,2.1338449,-1.6901921,-2.0806093,-0.4195696,-1.6274598,-0.3007936,-2.5695703,2.8618839
ATP binding cassette subfamily B,1.0238334,-0.7464969,-0.040192463,-1.1299003,-1.8073987,-0.3476689,-1.689789,0.40924886
ATP binding cassette subfamily C,2.150559,-1.4893943,-2.343849,-0.6495071,-1.8835962,0.010938555,-2.685715,1.7460754
ATP binding cassette subfamily D,2.1932135,-1.7942977,-0.27311894,-0.5125075,-1.7266148,0.66484165,-2.54821,1.035723
ATP binding cassette subfamily E,2.079145,0.027412385,1.9943362,-1.0232457,-1.9240582,-0.7363445,-1.3372598,0.26262337
ATP binding cassette subfamily F,0.8706496,-1.7273481,0.66679543,1.3571754,-0.7364676,-0.06617276,-1.5459313,0.722087
ATP binding cassette subfamily G,1.351524,-1.6156515,-2.1009185,-0.8461169,-1.7165453,0.648515,-1.0139499,0.52284414
ATPase F1/V1 alpha/A and beta/B subunit family,0.78947675,-1.3620644,-1.3997005,0.23405421,-1.7141303,0.84506965,-1.0636327,0.75124025
ATPase H+/K+ transporting,1.6634092,-0.8860704,-2.714243,-0.5794364,-1.5880573,-0.20098478,-2.8537166,1.1616795
ATPase Na+/K+ transporting subunits,1.4704909,-1.2420884,-1.7562613,0.5487436,-0.44983667,0.4955324,-0.7445667,1.6802334
ATPase copper transporting,1.8640913,0.9100983,-1.6193339,-1.3074077,-1.7074257,-0.84498113,-2.4459026,1.2604109
ATPase orphan transporters,2.3078785,-0.5039078,-1.3475198,-0.4170949,-0.3892267,0.41903841,-1.9543428,0.33343613
ATPase phospholipid transporting,1.5613046,-0.47197312,-0.42029288,-0.7943688,-1.1336384,-0.0278617,-1.4512134,0.39389893
ATPases Ca2+ transporting,0.1346497,0.07042277,-0.6122115,-0.49642438,-0.44715017,0.36285436,-1.3250039,0.37488696
Abhydrolase domain containing,2.078154,-1.1020004,-1.213041,-0.7461816,-2.0951772,0.0068730414,-1.9919448,1.3192835
Abl family tyrosine kinases,2.8711905,0.483492,0.01952102,-1.0720664,-1.0217731,0.18389423,-2.7461267,2.0075827
Acetyl-CoA carboxylase family,2.5714912,-3.256676,-2.4758914,-1.6399089,-3.6213624,0.7360763,-4.57613,4.293292
Acid phosphatases,1.8875387,-0.7288444,-1.4010123,-0.8065024,-1.867306,0.014412522,-1.821887,0.99382174
Acid sensing ion channel subunits,2.0547314,-2.5699852,-2.1728683,1.1811514,0.21318686,1.0257776,-0.5014031,2.0971353
Actin related protein 2/3 complex subunits,1.5094652,-0.66109896,0.5997578,-1.3188719,-2.0387268,0.2665404,-2.4500184,-1.2671673
Actin related proteins,1.568257,-0.7329676,-0.49267164,0.3601667,-0.93368775,-1.3517587,-1.1420935,1.5297338
Actinins,0.2470771,-0.008384541,0.1807602,-1.8716601,-0.61063486,0.8762069,-1.8478456,1.0752896
Actins,-0.42062402,0.37146303,0.19440705,-1.9286741,-0.63681406,0.53457856,-2.0002136,1.4724288
Activating leukocyte immunoglobulin like receptors,2.2691104,-2.704202,0.7081868,-2.4360292,-1.220678,0.7087341,-3.6964488,-0.45865303
Activating signal cointegrator 1 complex,1.7255089,-0.25316828,0.7766198,-0.65261257,-2.4065914,-0.6498254,-2.177625,0.33018705
Acyl-CoA synthetase family,1.8604158,-1.6665417,-1.5937239,-0.87500954,-2.0373013,-0.2913984,-1.736558,1.7432884
Acyl-CoA thioesterases,1.3450859,-2.403185,-1.7656178,-1.0030152,-2.9770594,0.6369332,-1.8179426,1.2287931
Adaptor related protein complex 1,1.6749611,-0.33600205,-0.27774337,-0.5196133,-1.3214276,-0.27647132,-2.0577672,-0.1784308
Adaptor related protein complex 2,1.8893096,-1.5835525,0.17017052,0.02646266,-0.7227829,0.84366983,-0.5941884,0.20917071
Adaptor related protein complex 3,2.1436625,0.3460364,0.21278617,0.2832626,-1.0240884,-0.5294259,-0.76085943,0.6056459
Adaptor related protein complex 4,1.8603404,-0.013813376,0.6854063,0.7406998,-1.0173945,-0.91861874,-1.6390939,1.0923347
Adaptor related protein complex 5,1.8476739,-1.4163941,-1.177221,0.31630427,-1.2887466,0.21519105,-2.5413163,-0.31318802
Adducin family,1.6227098,-1.1089773,0.033530436,0.6757158,-0.28567582,0.4650591,-0.74717075,0.071078844
Adenosine deaminase family,1.1795161,-1.603633,-0.49031225,-0.1367266,-1.4226215,0.31469887,-2.5544186,-0.41101685
Adenosine deaminases acting on RNA,2.2968924,-0.8846674,-1.1081975,-0.13954736,-0.71716577,-0.6977198,-1.6506748,0.48151678
